Arabizi,Arabic
meme,مام
dangereux,دانجورو
kima,كيما
blida,البليدة
fi,في
parout,بارتو
salam,سلام
ya,يا
nasse,ناس
ad3ooo,ادعو
rabi,ربي
ysagam,يسقم
ahwale,احوال
l,ل
blade,بلاد
kbale,قبل
o,و
mba3ad,مبعد
le,لو
football,فوتبال
cha3b,شعب
mrid,مريض
mrid,مريد
hata,حتا
f,في
les,لي
commantaire,كمونتير
ta3,تع
chorouk,شروق
tsabo,تسبو
ba3dakom,بعضاكم
tat3ayro,تتعايرو
hhhhhhhhhhhhh,ههههههه
yahdina,يهدينا
yahdikom,يهديكم
kadra,قدر
allah,الله
wa,و
machaa,ماشاء
faal,فعل
a3anaka,أعانك
alaah,الله
ala,على
ala,ال
baloik,بلاؤك
vive,فيف
bougera,بوقرة
enchalah,نشالله
el,ال
3ame,عام
jaye,جاي
fe,في
real,ريال
madrid,مدريد
rana,رانا
jayne,جايين
3adian,عديان
hacha,حاشا
hrarcha,حرارشا
et,اي
oharna,وهارنا
hada,هادا
mabka,مابقا
noir,نوار
yetmasakhro,يتمسخرو
b,ب
algerien,الجيريان
3ayb,عيب
welah,والله
lol,لول
m3a,مع
boumediene,بومدين
jusqua,جوسكا
la,لا
mort,مور
hajat,حاجت
toujour,توجور
nkolo,نقولو
marahba,مرحبا
biha,بها
biha,بيها
malgre,مالقري
cet,تكون
cet,سي
cet,سيت
dure,صعيبة
de,دو
vivre,تعيش
vivre,فيفر
vivre,فيفغ
cette,سيت
situation,سيتوأسيون
mais,مي
ca,سا
passe,باس
car,خاطرش
car,كار
luis,هو
qui,كي
donne,دوني
il,ال
reprend,لي يدي
faut,فو
remerci,نشكروه
tjr,توجور
dharbat,ظربة
3abd,عبد
hiya,هيا
li,لي
tajrah,تجرح
que,كو
dieu,ديو
soit,سوا
avec,افيك
vous,فو
ghaza,غزة
salutation,سالوتاسيو
beladi,بلادي
walah,والله
yahfede,يحفض
wlade,ولاد
rbi,ربي
m3akom,معاكم
nchalah,نشالله
masorin,منصورين
kouli,قولي
kouli,كل
win,وين
verite,فيريتي
m3ak,معاك
yass3dan,يا سعدان
ss3dan,سعدان
lalgerie,لالجيري
si,سي
pour,بور
commentaire,كومونتير
commentaire,كومونتار
commentaire,كومنتار
numero,نوميرو
numero,نيميرو
fir3awena,فرعون
di,دي
ewtedde,الأوتاد
non,نو
hna,حنا
en,اون
retard,روطار
nesshakou,نسحقو
3andna,عندنا
portables,بورطابل
w,و
kayen,كاين
draham,دراهم
khassna,خصنا
ray,راي
sa3dan,سعدان
saye,صايي
saye,سايي
c,سي
bn,بون
fin,فين
d,د
contra,كونترا
ha,ها
bezaf,بزاف
ya3tik,يعطيك
saha,صحا
waseltna,وصلتنا
mondial,مونديال
chekeltha,شكلتها
ga3,ڨع
mai,مي
ma3lich,معليش
ma3lich,ماعليش
ykhalik,يخليك
sa,سا
fait,في
un,ان
gro,ڨرو
plaisir,بليزير
min,من
