Arabizi,Arabic
kayen,كاين
stage,ستاظ
1,١
novembre,نوفنبر
fi,في
batna,باتنة
w,و
oran,وهران
annaba,عنابة
bsah,بصح
homa,هوما
ybgho,يبغو
l3asima,العاصمة
khali,خلي
rahom,راهم
y3touhom,يعطوهم
drahem,دراهم
eddawla,الدولة
bach,باش
ysagmo,يسقمو
bse7,بصح
mouchkila,مشكلة
mouchkila,الناس
mouchkila,لي
li,لي
taht,تحت
boulbouyat,بولبويات
yaklo,ياكلو
ychro,يشرو
swhaleh,صوالح
barkhas,بأرخص
athmena,أثمنة
ykhdmo,يخدمو
bladhom,بلادهم
ysar9ouha,يسرقوها
3lach,علاه
mantakdamouch,مانتقدموش
el3asba,العصاب
el3asba,العصابة
bounjah,بونجاح
kharej,خارج
hdhi,هذي
hiya,هي
lqowa,القوة
ldariba,الضاربة
lano,لانو
ta3oudna,تعودنا
nskto,نسكتو
nkhafo,نخافو
nsta3rf,نستعرف
bihom,بيهم
anhom,انهم
daro,دارو
storyat,ستوريات
qbel,قبل
lmbarett,المبارات
hakda,هكذا
belak,بالاك
ykhafou,يخافو
eli,الي
ydiro,يديرو
had,هاد
lmahzla,المهزلة
7asbna,حسبنا
allah,الله
ni3ma,نعم
ni3ma,نعمة
l,ال
wakil,وكيل
rani,راني
nchouf,نشوف
belmadi,بلماضي
rah,راه
raye7,رايح
rabbi,ربي
wakilkoum,وكيلكم
yridoun,يريدون
df3,دفع
blmadi,بلماضي
lil,لل
isti9ala,استقالة
b,ب
ay,اي
tri9a,طريقة
kant,كانت
hom,هم
yl3mou,يلعمو
an,ان
mlyoun,مليون
jazairi,جزائري
m3,مع
lhdha,لهذا
df3h,دفعه
hta,حتى
la,لا
y9a3ou,يقعوا
7raj,حرج
amam,امام
cha3b,شعب
lm,لم
nra,نرى
ml3b,ملعب
m7ebitouch,محبيتوش
tfahmou,تفهموا
tfahmou,تفهمو
belli,بلي
el,ال
mouchkel,مشكل
machi,ماشي
mas2oul,مسؤول
wala,ولا
chakhss,شخص
chakhss,الشخص
tettem,تتم
i9aletou,اقالته
entaha,انتهى
mondhouma,منظومة
bakmlha,بأكملها
jibha,جيبها
men,من
awel,اول
fel,في
blad,بلاد
ehbet,اهبط
hna,هنا
lwkan,لوكان
rmao,رماو
braqa,براقة
nta3,نتاع
zwaouch,زواوش
tkhrej,تخرج
kheir,خير
dork,درك
yekhrej,يخرج
mdire,مدير
lmle3b,الملعب
y9ollek,يقولك
lthlyfonat,الثليفونات
sswro,صورو
ssabba,السبة
lardiya,الارضية
rahi,راهي
mli7a,مليحة
ardiya,أرضية
t9lab,تصلح
lekol,لكل
chi,شيء
chi,شي
ma,ما
3da,عدا
kora,كرة
l9adam,القدم
kol,كل
hada,هذا
ajel,أجل
ajel,القضية
ajel,اجل
ekhraj,إخراج
montakhab,منتخب
habou,حبو
yekrahou,يكرهو
leh,له
hayatou,حياته
a3da2,أعداء
najah,نجاح
wahed,واحد
yribondi,يريبوندي
lbaghdad,لبغداد
y9olo,يقلو
y9olo,يقولو
y9olo,و
raha,راها
tetkteb,تتكتب
abha,ابها
abha,أبها
shi2,شيء
jmil,جميل
yndd,يندد
ll3iboun,اللاعبون
bl2mr,بالأمر
khasa2,خاصة
lma3nayoun,المعنيون
mbashra,مباشرة
l2n,لأن
l2n,الآن
ythasr,يتحسر
b3d,بعد
eqtana3,اقتنع
lms2oulin,المسؤولين
3bara,عبارة
3n,عن
fashlin,فاشلين
ghir,غير
qabilin,قابلين
llts7i7,للتصحيح
kma,كما
qal,قال
ln,لن
3naba,عنابة
wahran,وهران
howa,هو
yheb,يحب
essontr,السونطر
rak,راك
fahem,فاهم
golo,قولو
yrih,يريح
tchki,تشكي
nahdro,نهدرو
belwen,بالون
aksam,اقسم
aksam,أقسيم
bellah,بالله
f,ف
waqt,وقت
zetshi,زطشي
makanch,مكانش
nchoufo,نشوفو
la3fayes,لعفايس
wallah,والله
ya,يا
l9owwa,القوة
ddariba,الضاربة
khas,خاص
traktor,تراكتور
y7areth,يحرث
abha2,ابهى
mohem,مهم
fekra,فكرة
weslet,وصلت
ga3,قاع
edrahm,الدراهم
darthom,درتهم
ma9ditch,مقديتش
tet3elem,تتعلم
tekteb,تكتب
akhta2,اخطاء
emla2iya,املائية
rkika,ركيكة
bladna,بلادنا
baladiya,بلدية
merikan,مريكان
miy9ablonach,ميقبلوناش
2a9sem,اقسم
kartha,كارثة
trkna,تركنا
din,دين
etba3na,إتباعنا
bda3,بدع
msjd,مسجد
y7taj,يحتاج
ela,الى
