Arabizi,Arabic
1000d,1000د
1080d,1080د
10d,10د
120d,120د
124d,124د
13h,13ه
15alf,15الف
16h,16ه
17kg,17كغ
18ans,18انس
18h,18ه
1900d,1900د
200dt,200دت
23dt,23دت
250or,250اور
25d,25د
25dt,25دت
28dt,28دت
2m,2م
3000dt,3000دت
300km,300كم
a,33333333333ع
390dt,390دت
400dt,400دت
420d,420د
44dt,44دت
530d,530د
550d,550د
599d,599د
5kilo,5كيلو
5l,5ل
5milayenn,5ملاين
600d,600د
620dt,620دت
650dt,650دت
65dt,65دت
680dt,680دت
700d,700د
730d,730د
750d,750د
750dt,750دت
780dinar,780دنار
7dt,7دت
7km,7كم
800d,800د
,850دت
850dt,850دت
900dt,900دت
ya,،
a,ا
a7aaaaa,اااا
aaaaa,اااا
aban,ابان
2ebda,ابدا
ebde,ابدا
ibde,ابداع
ibrahim,ابراهيم
abrak,ابرك
ebrek,ابرك
ab3ath,ابعث
ib3id,ابعد
ebki,ابكي
ebelse,ابلص
abou,ابو
abyedh,ابيض
itaha,اتاحى
atfeh,اتفاح
itifa,اتفاق
atfeh,اتفه
itfouhhhhhh,اتفوه
atlel,اتلال
atawa,اتوا
atharia,اثارية
theneya,اثنية
ithnine,اثنين
ija,اجا
ijew,اجاوا
ejbed,اجبد
ijbed,اجبد
ijbedd,اجبد
ajyel,اجيال
ajyel,اجيل
ah,اح
i7bat,احباط
i7tijejet,احتجاجات
i7tijajiya,احتجاجية
e7tiyatana,احتياطنا
i7tirami,احتيرامي
a7ad,احد
a7rar,احرار
a7ra,احرى
ahzeb,احزاب
ahzeeb,احزاب
a7zeb,احزب
i7ses,احساس
e7sebha,احسبها
a7sen,احسن
a7fed,احفض
a7ki,احكي
a7kilna,احكيلنا
ahkilli,احكيلي
a7lem,احلام
ahlem,احلام
a7la,احلى
ahmed,احمد
e7med,احمد
a7mer,احمر
a7na,احنا
a7iyetek,احياتك
a,اخ
e5beriyye,اخبارية
i5tissar,اختصار
o5tek,اختك
o5tk,اختك
okhtek,اختك
ou5tek,اختك
o5ti,اختي
e5tiyar,اختيار
i5tiyar,اختيار
i5tiyari,اختياري
e5dem,اخدم
e5dmou,اخدموا
e5er,اخر
a5ritha,اخرتك
o5roj,اخرج
o5ra,اخرى
o5rin,اخرين
okhrine,اخرين
a5dher,اخضر
ikhhhhhhhhhhh,اخهههه
e5ou,اخو
e5wen,اخوان
a5i,اخي
a5ib,اخيب
ou5ayek,اخيك
ed,اد
eda55al,ادخل
ed3i,ادعي
admin,ادمن
adminet,ادمنات
admin,ادمين
idha,اذا
idha3t,اذاعة
ithakenik,اذاكانك
adhen,اذان
2ara,اراء
areb3a,اربع
arteh,ارتح
erta9iw,ارتقيوا
arja,ارجع
ar7emni,ارحمني
ar5es,ارخص
ard,ارض
arteb,ارطب
ar9am,ارقام
ar9ami,ارقامي
or9od,ارقد
armi,ارمي
irheb,ارهاب
erhebkom,ارهابكم
irhabi,ارهابي
arwa,اروع
ariena,اريانة
azber,ازبر
azre,ازرق
is,اس
issar,اسار
es2el,اسال
oussema,اسامة
aseemi,اسامي
estej3ab,استجعاب
istidamet,استدامات
estad3awah,استدعاوه
estarjel,استرجل
esti3ab,استعاب
este3mari,استعماري
esta3malt,استعملت
esteghfer,استغفر
estghelel,استغلال
stanna,استنى
izaak,اسحاق‎
asrar,اسرار
esra2l,اسراييل
assra,اسرح
as3a,اسعى
islem,اسلام
eslami,اسلامي
islami,اسلامي
islamiya,اسلامية
asli,اسلي
esm,اسم
ismail,اسماعيل
asma,اسمع
