Arabizi,Arabic
soaal,سؤال
so2al,سؤال
masa2,مساء
masaa,مساء
2sma2,أسماء
asmaa,أسماء
3marh,عمارة
s3adh,سعادة
ebda3,ابداع
moshagheb,مشاغب
moshareb,مشاغب
mshrool,مشغول
mshghool,مشغول
hatha,هذا
thhb,ذهب
monther,منذر
khyal,خيال
mkhdh,مخده
shomokh,شموخ
talb,طالب
matrood,مطرود
msht,مشط
mendar,منظار
mendhar,منظار
menthar,منظار
madhloom,مظلوم
madloom,مظلوم
mathloom,مظلوم
hmam,حمام
sahh,ساحة
masbh,مسبح
krar,قرار
qrar,قرار
grar,قرار
mkt3,مقطع
mqt3,مقطع
mgt3,مقطع
sebak,سباق
sebag,سباق
sebaq,سباق
sbah,صباح
rsas,رصاص
mser,مصير
radhe,راضي
rade,راضي
mdhwe,مضوي
mdwe,مضوي
alslam,السلام
3laikom,عليكم
kef,كيف
halk,حالك
bdna,بدنا
nroh,نروح
3la,على
irbid,اربد
jam3a,جامعه
mbrook,مبروك
meshtaglk,مشتاقلك
akher,اخير
alakhbar,الاخبار
ahmd,احمد
mhmd,محمد
bshar,بشار
rami,رامي
akrm,اكرم
khald,خالد
3amr,عامر
bhkelk,بحكيلك
treq,طريق
t3am,طعام
fondog,فندق
fondoq,فندق
fondok,فندق
mt3m,مطعم
3shaa,عشاء
3sha2,عشاء
ghdaa,غداء
ghda2,غداء
waqt,وقت
hafleh,حفله
t3ban,تعبان
jo3an,جوعان
masrh,مسرح
mtar,مطار
taarh,طائره
ta2rh,طائره
rhlh,رحله
moghfl,مغفل
morfl,مغفل
ahd,احد
ethnain,اثنين
tholatha2,ثﻻثاء
tholathaa,ثﻻثاء
arb3aa,اربعاء
arb3a2,اربعاء
khmes,خميس
jom3a,جمعه
sabt,سبت
brd,برد
sare3,سريع
sanh,سنه
shhr,شهر
yom,يوم
sa3ah,ساعه
dageega,دقيقه
thanyeh,ثانيه
jozoa,جزء
jozo2,جزء
rob3,ربع
nos,نص
tholth,ثلث
wajbeh,وجبه
mansaf,منسف
kabseh,كبسه
raheeb,رهيب
khorafi,خرافي
esh,ايش
fe,في
ma,ما
fi,في
share3,شارع
madenh,مدينه
akthr,اكثر
mnshwr,منشور
3jbny,عجبني
wallah,و الله
sbah,صباح
tkhrjna,تخرجنا
wnash,وناسه
kheer,خير
mama,ماما
3dhab,عذاب
3thab,عذاب
3dab,عذاب
mu3limat,معلمات
3ndy,عندي
agra,اقرا
knt,كنت
kda,كذا
ktha,كذا
kdha,كذا
tethjab,تتحجب
shja3ik,شجعك
alhmdellh,الحمدلله
elhg,الحق
tz3l,تزعل
rbe,ربي
klmt,كلمة
lhdt,لحضة
lhdht,لحضة
wda3,وداع
ma,ما
ktb,كتب
gadar,قادر
qadar,قادر
kadar,قادر
teb,طيب
hdhy,حظي
hthy,حظي
hdy,حظي
b3dk,بعدك
hdha,هذا
hda,هذا
htha,هذا
nseby,نصيبي
faly,فلي
dmna,دمنا
mohebt,محبة
tkhmeen,تخمين
al,ال 
akl,اكل
mogoad,موجود
eda,اذا
etha,اذا
edha,اذا
alhmdellh,الحمدلله
allah,الله
ya,يا
whda,وحده
ahla,احلى
w,و 
anti,انتي
kl,كل 
ahbk,احبك
atyab,اطيب
ahlh,احلى
biddineh,بدنيا
khwat,خوات
fy,في
hyaty,حياتي
uf,اوف
shfthm,شفتهم
jmalkm,جمالكم
gnight,جنات
yarab,يارب
ad3oulna,ادعولنا
3end,عند
zan,زن
hosn,حسن
anchalla,انشالله
mzaynh,مزينه
hayetna,حياتنا
wardh,ورده
mtrah,مطرح
emthan,امتحان
