Arabizi,Arabic
edw,إعدوا
el,ال
nas,ناس
ytbakaw,يتباكوا
bdit,بديت
nhdr,نهدر
mn,من
albi,قلبي
toul,تقول
nhdi,نهدي
fi,في
bkit,بكيت
kamel,كامل
sektou,سكتوا
tkhalit,تخليت
rouhi,روحي
teqoul,تقول
kent,كنت
nnoum,ننوم
nado,نادو
a,قاع
salmo,سلموا
lya,عليا
w,و
yahdro,يهدروا
maya,معايا
nes,نص
bka,بكا
l'akher,الآخر
ma,ما
fhemtouche,فهمتوش
erridwania,الرضوانية
lilasha,للعشاء
kan,كان
lasha,يكفي
ykafi,ليزانفيتي
lizanfiti,قاع
ga,قاع
jwzt,جوزت
ayamat,أيامات
rwaa,روعة
nnsahach,ننساهاش
yati,حياتي
kmalt,كملت
qrayti,قرايتي
l'afak,الأفاق
b'sayf,بالصيف
kntsh,كنتش
seryu,صيريو
rayti,قرايتي
khdmt,خدمت
wahed,واحد
lsbital,السبيطار
rib,قريب
darna,دارنا
lmd,الحمد
llah,لله
rani,راني
labas,لاباس
ayesh,عايش
m,مع
baba,بابا
desidit,ديسيديت
bach,باش
netm,نتم
sadaq,صداق
merti,مرتي
kant,كانت
khedma,خدمة
temshi,تمشي
terbiyan,تربيان
organizi,أورقانيزي
serto,سيرتو
khedmati,خدمتي
esbitar,السبيتار
militaire,الميليتار
essbitar,السبيطار
fih,فيه
khedamin,خدامين
men,من
kol,كل
blad,بلاد
oropa,أوروبا
taa,تاع
khaleej,خليج
kanet,كانت
orobiyyoun,أوروبيون
taa'i,تاعي
mahom,معاهم
nhar,نهار
desida,ديسيدا
tabib,طبيب
engliz,إنقليز
yrouh,يروح
leblado,لبلادو
akhtarsh,أخطرش
khalaset,خلاصت
contra,كونترا
taaw,تعاو
maana,معانا
amna,حمنا
ndirou,نديرو
lou,لو
fela,حفلة
nwadouh,نودعوه
brizizina,بريزيزينا
lblassa,لبلاصة
ta,تاع
lfela,الحفلة
ljnina,الجنينة
lsbitar,السبيطار
wjedna,وجدنا
klsh,كلش
shreina,شرينا
lqato,القاطو
welqzouz,والقزوز
bs,بصح
shi,شي
eli,الي
knt,كنت
nlm,نحلم
wash,واش
howa,هو
do,دو
nmthlo,نمذهلو
bse,بصح
kont,كنت
nhlm,نحلم
dew,عدو
nmthlou,نمذهلو
etbib,الطبيب
hada,هذا
yheb,يحب
ytm,يطم
elwayej,الحوايج
etradsyonal,الترادسيونال
dbr,دبر
wlyd,وليد
amy,امي
nshrylo,نشريلو
mshf,مصحف
wla,ولا
ktab,كتاب
yhdr,يهدر
la,على
lslam,الإسلام
rt,رحت
dwa,قدوة
bash,باش
nshouf,نشوف
nsrilo,نصريلو
lit,لقيت
wahd,واحد
lktab,الكتاب
lislam,الإسلام
blonglizi,بالونقليزي
tfkrt,تفكرت
lhdra,الهدرة
mi,عمي
qlt,قلت
nshrih,نشريه
lbri,لبري
tao,تاعو
machi,ماشي
ghali,غالي
adyt,أضيت
jazet,جازت
hfla,حفلة
byan,بيان
mdyetlo,مديتلو
qadi,قاضي
mbd,مبعد
rah,راح
sahbna,صاحبنا
tbyb,طبيب
ayam,والشهور
shhour,وجبت
b,ب
khaf,جازت
zawejt,الأيام
jebt,جبت
weld,ولد
wsltni,وصلتني
brip,بريب
ingliz,إنجليز
hlit,حليت
qrit'ha,قريتها
maktouba,مكتوبة
bel,بال
broumiarmon,بروميارمون
fhemt,فهمت
shwi,شوي
kontinou,كونتينو
ta'ha,تاعها
fhemtuch,فهمتوش
rft,أرفت
belli,بلي
jatni,جاتني
sabi,صاحبي
ldim,القديم
lli,اللي
khdem,خدم
mana,معانا
ana,أنا
nfakker,نفكر
awel,أول
marra,مرة
nesma,نسمع
esmo,اسمو
glqt,غلقت
bribe,بريب
sayt,سايت
nzid,نزيد
nfkr,نفكر
fkrtch,فكرتش
hta,حتى
kima,كيما
haka,هكا
wdra,وحذرا
balchwiya,بالشوية
rbi,ربي
chali,شالي
din,دين
hdani,هداني
ydik,يديك
